,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,texture,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_Weightloss_manure,co-response_group_disease_spread
MC26 1C,8.022,1.6,1140.0,1.6,62.0,245.0,75.0,154.0,92.0,12.8540077940349,0,31.0,1.4944,0.175525042,0.958091235604604,0.0488671871428572,0.05,0.0,0.094473385,0,1,27.0,0.0,6.0,1,0.174638165,37.25335132,0.032608686969181795,0.0813686920233543,0.10366903390409081,0.0264416174299529
MO26 2A,7.959,1.3,1450.0,2.4,228.0,365.0,102.0,140.0,86.0,17.96912595456719,0,8.0,1.64,0.17424704,3.770779985263304,0.17942397325,0.03,3.0,0.099810775,1,2,21.0,2610.0,3.0,0,0.354820473,55.64419774,0.025067548675486603,0.07900805068856881,0.1036109145290867,0.045204261030199804
MO26 2B,7.961,1.4,1480.0,1.8,196.0,315.0,86.0,147.0,87.0,14.472964494663431,0,9.25,1.4861,0.166815199,1.9431761194044928,0.1442455567142857,0.06,0.0,0.087820706,1,2,21.0,2610.0,3.0,0,0.280944871,35.76078808,0.0284534824654283,0.07572107202527541,0.11354497134522991,0.0399850975023318
MO26 2C,7.909,1.5,1610.0,2.9,156.0,365.0,85.0,164.0,89.0,16.56170508234527,0,11.5,1.5064,0.176519719,2.691066670412072,0.1222257235714285,0.01,1.0,0.104276011,1,2,21.0,2610.0,3.0,0,0.288698708,54.885895,0.0212880087359398,0.07738083284796432,0.1144927597454726,0.0389170346507309
MO81 1B,7.75,2.2,1790.0,3.4,69.0,360.0,128.0,230.0,89.0,21.822245227196408,0,14.75,1.4746,0.195716973,1.487402144402303,0.0314616828214285,0.37,0.0,0.10955385,1,1,24.0,3590.0,7.0,1,0.243940642,16.80989299,0.024437956280718598,0.0959961791708887,0.122590262410703,0.0341731235181887
MO81 1C,7.829,2.0,1660.0,3.3,72.0,325.0,94.0,210.0,90.0,19.08980826099435,0,13.75,1.4789,0.192022402,2.46908247588803,0.0565045531785714,0.14,4.0,0.098110562,1,1,24.0,3590.0,7.0,1,0.47439137,36.4583508,0.0316952301736321,0.0945547083746009,0.11474794275864049,0.045666173849239905
MC81 1A,7.907,1.7,1550.0,5.8,143.0,385.0,83.0,175.0,87.0,16.28020333701144,0,23.5,1.4626,0.189187787,0.8874132955031719,0.1045746069285714,0.1,2.0,0.117790018,0,1,24.0,3165.0,5.0,1,0.234005603,23.30300781,0.030045734077837043,0.08795906539585271,0.1103990959425174,0.0331034355970189
MC81 1B,7.902,1.8,1670.0,4.1,122.0,430.0,79.0,183.0,89.0,17.281280145390372,0,23.25,1.4984,0.187191342,1.2376754223196178,0.10475094475,0.2,4.0,0.099643229,0,1,24.0,3165.0,5.0,1,0.196076272,20.97105435,0.02475750223395639,0.08116322884616549,0.11237110958871269,0.0330684173850651
MC81 1C,7.895,1.9,1500.0,2.9,89.0,325.0,80.0,180.0,89.0,15.570276774193548,0,21.5,1.4014,0.177301017,0.8414542777231939,0.0706934732142857,0.06,3.0,0.10439832,0,1,24.0,3165.0,5.0,1,0.165386024,14.48293864,0.025546813248171017,0.0665914249303341,0.07651167201417569,0.025604300708931698
MO07 1A,7.84,0.9,1390.0,4.5,46.0,240.0,65.0,134.0,91.0,12.377318446415522,0,20.5,1.4758,0.162907201,2.044054905862532,0.1029807805,0.17,4.0,0.098770584,1,1,18.0,2872.0,6.0,1,0.273260489,18.74559399,0.03484615245748716,0.07956209364291221,0.09903094120063241,0.029481515112611004
MO07 1B,7.889,1.1,1310.0,3.8,50.0,220.0,52.0,129.0,93.0,12.848041671488389,0,12.75,1.5321,0.162779129,2.632785448576497,0.0788264685357142,0.17,4.0,0.114273914,1,1,18.0,2872.0,6.0,1,0.248831222,29.52047122,0.0377964102882021,0.08775436720455371,0.1299691658643265,0.0471710227950138
MO07 1C,7.935,1.1,1230.0,3.5,41.0,200.0,51.0,123.0,93.0,11.748683316189403,0,18.75,1.5,0.164747696,2.974515585412767,0.1610854007142857,0.12,4.0,0.097834082,1,1,18.0,2872.0,6.0,1,0.258779588,92.61020828,0.029648085756390316,0.0801268360135355,0.11457576882268095,0.04313249537179009
MC07 1A,7.893,1.9,1730.0,1.6,94.0,285.0,53.0,187.0,91.0,16.48605686684886,0,20.0,1.3914,0.190288424,1.2595791721702196,0.0567106931428571,0.03,3.0,0.094094005,0,2,22.0,2212.0,3.0,0,0.226878882,26.46059267,0.034802162835651906,0.0869272995009608,0.11205580954495889,0.0360762739407431
